,email,category,message
134,Ray8181@hotmail.com,spam   ,"Hello. We need some posh birds and chaps to user trial prods for cham pneys. Can i put you down? I need your address and dob asap. Ta r"",,,,,,,,,,,,,"
135,Wilma.Mceachern@vitstudent.ac.in,spam   ,"What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!"",,,,,,,,,,,,,"
136,Peter2507@hotmail.com,spam   ,"Shop till u Drop"", IS IT YOU, either 10K, 5K, Â£500 Cash or Â£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary,,,,,,,"
137,Leroy.Griffo@hotmail.com,spam   ,"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. Â£1.50 SP:Tyrone"",,,,,,,,,,,,,"
138,Dorothy.Cathcart@hotmail.com,spam   ,"U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565"",,,,,,,,,,,,,"
139,Lisa.Keyes@vitstudent.ac.in,spam   ,"U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08"",,,,,,,,,,,,,"
140,Helen.Tate@hotmail.com,spam   ,"Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content."",,,,,,,,,,,,,"
141,Richard.Gonzalez@hotmail.com,spam   ,"Your free ringtone is waiting to be collected. Simply text the password """"MIX"""" to 85069 to verify. Get Usher and Britney. FML"", PO Box 5249, MK17 92H. 450Ppw 16,,,,,,,,,,,"
142,Kevin9478@vitstudent.ac.in,spam   ,"all the lastest from Stereophonics"", Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468,,,,,,,,,,"
143,Christina.Sevick@hotmail.com,spam   ,"January Male Sale! Hot Gay chat now cheaper"", call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min),,,,,,,,,,,,"
144,Jonathan.Penn@yahoo.com,spam   ,"money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over Â£1million to give away ! ppt150x3+normal text rate box403 w1t1jy"",,,,,,,,,,,,,"
145,Ora344@gmail.com,spam   ,"Dear Matthew please call 09063440451 from a landline"", your complimentary 4*Lux Tenerife holiday or Â£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.,,,,,,,,,,,,"
146,Penny.Davis@gmail.com,spam   ,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or Â£10"",000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+,,,,,,,,,,,,"
147,Marybelle1906@vitstudent.ac.in,spam   ,"How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS)"",,,,,,,,,,,,,"
148,TeresaMcdonald@yahoo.com,spam   ,"Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1"",,,,,,,,,,,,,"
149,Peggy.Byars@yahoo.com,spam   ,"Filthy stories and GIRLS waiting for your"",,,,,,,,,,,,,"
150,Nancy.Horton@hotmail.com,spam   ,"URGENT! We are trying to contact U. Todays draw shows that you have won a Â£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only"",,,,,,,,,,,,,"
151,Laverna3975@hotmail.com,spam   ,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates"", play java games, Dload polyPH music, noline rentl.,,,,,,,,,,"
152,JoeGoetz@yahoo.com,spam   ,"Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!"",,,,,,,,,,,,,"
153,Joseph.Gunn@vitstudent.ac.in,spam   ,"Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout"",,,,,,,,,,,,,"
154,Michael2711@hotmail.com,spam   ,"FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+"",,,,,,,,,,,,,"
155,Roxanne4926@hotmail.com,spam   ,"Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18"",,,,,,,,,,,,,"
156,Edmund.Cottingham@hotmail.com,spam   ,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6"", LS15HB 150p,,,,,,,,,,,,"
157,David6333@hotmail.com,spam   ,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE"", eg GIRL ZOE 18 to 8007 to join and get chatting!,,,,,,,,,,,,"
158,Jack.Klopfer@gmail.com,spam   ,"18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222."",,,,,,,,,,,,,"
159,DonnaHinkle@gmail.com,spam   ,"EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN Â£100 Cash WKENT/150P16+"",,,,,,,,,,,,,"
160,Manuel8046@hotmail.com,spam   ,"We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150"",,,,,,,,,,,,,"
161,Phil.Johnson@hotmail.com,spam   ,"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU"",,,,,,,,,,,,,"
162,JohnSmallwood@vitstudent.ac.in,spam   ,"URGENT! We are trying to contact U. Todays draw shows that you have won a Â£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only"",,,,,,,,,,,,,"
163,Jason.Boyle@hotmail.com,spam   ,"Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688"",,,,,,,,,,,,,"
164,EdwardSignorile@yahoo.com,spam   ,"You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p pÂ£3.99"",,,,,,,,,,,,,"
165,Mark7346@hotmail.com,spam   ,"WIN URGENT! Your mobile number has been awarded with a Â£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm "",,,,,,,,,,,,,"
166,Leandra.Leigh@gmail.com,spam   ,"Dear Subscriber ur draw 4 Â£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062"",,,,,,,,,,,,,"
167,JohnBrickner@hotmail.com,spam   ,"Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you"",,,,,,,,,,,,,"
168,DarrellNguyen@hotmail.com,spam   ,"449050000301 You have won a Â£2"",000 price! To claim, call 09050000301.,,,,,,,,,,,"
169,Dorthy6038@vitstudent.ac.in,spam   ,"Bored of speed dating? Try SPEEDCHAT"", txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16,,,,,,,,,,,"
170,RobertReichert@vitstudent.ac.in,spam   ,"Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow"",,,,,,,,,,,,,"
171,Kenneth3181@yahoo.com,spam   ,"For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p"",,,,,,,,,,,,,"
172,Jenny.Christian@hotmail.com,spam   ,"Ur HMV Quiz cash-balance is currently Â£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg"",,,,,,,,,,,,,"
173,Kenneth1000@gmail.com,spam   ,"Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226."",,,,,,,,,,,,,"
174,Roy7481@yahoo.com,spam   ,"I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over."",,,,,,,,,,,,,"
175,KathrynMiles@gmail.com,spam   ,"Thank you"", winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832,,,,,,,,,,,,"
176,RuthKeenan@gmail.com,spam   ,"1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(Â£1.50p. m)"",,,,,,,,,,,,,"
177,JeffreyBall@yahoo.com,spam   ,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's"",,,,,,,,,,,,,"
178,Eleonore.Odell@yahoo.com,spam   ,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p)"", see packs or lucozade.co.uk/wrc & itcould be u!,,,,,,,,,,,,"
179,Jim.Dunham@vitstudent.ac.in,spam   ,"Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 Â£3/wk 087016248"",,,,,,,,,,,,,"
180,ThomasGallegos@vitstudent.ac.in,spam   ,"You have 1 new voicemail. Please call 08719181503"",,,,,,,,,,,,,"
181,Christine.Frierson@gmail.com,spam   ,"WIN a year supply of CDs 4 a store of ur choice worth Â£500 & enter our Â£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3"",,,,,,,,,,,,,"
182,Jo5539@yahoo.com,spam   ,"As a SIM subscriber"", you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr,,,,,,,,,,"
183,ThomasLew@hotmail.com,spam   ,"You have 1 new voicemail. Please call 08719181513."",,,,,,,,,,,,,"
184,AnnieKeegan@gmail.com,spam   ,"No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info"",,,,,,,,,,,,,"
185,Oliver2947@hotmail.com,spam   ,"You are a winner U have been specially selected 2 receive Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810"",,,,,,,,,,,,,"
186,Edward.Cunningham@gmail.com,spam   ,"Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p"",,,,,,,,,,,,,"
187,Gertude.Colbert@yahoo.com,spam   ,"FREE entry into our Â£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020."",,,,,,,,,,,,,"
188,ArlaChambers@hotmail.com,spam   ,"Please CALL 08712402779 immediately as there is an urgent message waiting for you"",,,,,,,,,,,,,"
189,Michael.Maestas@yahoo.com,spam   ,"Hungry gay guys feeling hungry and up 4 it"", now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min),,,,,,,,,,,,"
190,Manuel8855@hotmail.com,spam   ,"Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx CallsÂ£1/minmoremobsEMSPOBox45PO139WA"",,,,,,,,,,,,,"
191,Linda.Osmer@hotmail.com,spam   ,"network operator. The service is free. For T & C's visit 80488.biz"",,,,,,,,,,,,,"
192,John.Benitez@gmail.com,spam   ,"Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 "",,,,,,,,,,,,,"
193,Lucille9935@hotmail.com,spam   ,"Get 3 Lions England tone"", reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply,,,,,,,,,,,"
194,Thomas.Penny@gmail.com,spam   ,"Win the newest â€œHarry Potter and the Order of the Phoenix (Book 5) reply HARRY"", answer 5 questions - chance to be the first among readers!,,,,,,,,,,,,"
195,James6929@hotmail.com,spam   ,"Ur balance is now Â£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!"",,,,,,,,,,,,,"
196,James.Perla@hotmail.com,spam   ,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out"", then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 Â£3/wk,,,,,,,,,,,,"
197,Steven672@yahoo.com,spam   ,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd"", PO Box 1327 Croydon CR9 5WB 0870..k,,,,,,,,,,,,"
198,Wilfred.Reynolds@yahoo.com,spam   ,"Bears Pic Nick"", and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324,,,,,,,,,,"
199,Maria5729@gmail.com,spam   ,"500 New Mobiles from 2004"", MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY Â£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION,,,,,,,,,,,,"
200,Sidney.Miranda@gmail.com,spam   ,"Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56"",,,,,,,,,,,,,"
201,AlanBrown@vitstudent.ac.in,spam   ,"No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info"",,,,,,,,,,,,,"
202,Michael1767@vitstudent.ac.in,spam   ,"URGENT"", IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU,,,,,,,,,,,,"
203,John2242@gmail.com,spam   ,"Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs"",,,,,,,,,,,,,"
204,Helen4517@vitstudent.ac.in,spam   ,"Congratulations ur awarded either Â£500 of CD gift vouchers & Free entry 2 our Â£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16"",,,,,,,,,,,,,"
205,Lula5712@gmail.com,spam   ,"For sale - arsenal dartboard. Good condition but no doubles or trebles!"",,,,,,,,,,,,,"
206,Janet.Smart@hotmail.com,spam   ,"Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or Â£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020."",,,,,,,,,,,,,"
207,Travis6824@hotmail.com,spam   ,"As a registered optin subscriber ur draw 4 Â£100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts"",,,,,,,,,,,,,"
208,Caroline.Shaw@vitstudent.ac.in,spam   ,"Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804"",,,,,,,,,,,,,"
209,NellRatliff@yahoo.com,spam   ,"CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx CallsÂ£1/minmoremobsEMSPOBox45PO139WA"",,,,,,,,,,,,,"
210,HaroldHutchinson@gmail.com,spam   ,"Bought one ringtone and now getting texts costing 3 pound offering more tones etc"",,,,,,,,,,,,,"
211,Jenna.Boehmer@vitstudent.ac.in,spam   ,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a Â£2"",000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!,,,,,,,,,,,,"
212,MarkPoole@vitstudent.ac.in,spam   ,"YOU 07801543489 are guaranteed the latests Nokia Phone"", a 40GB iPod MP3 player or a Â£500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+,,,,,,,,,,,,"
213,Darlene.Pell@hotmail.com,spam   ,"Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x CallsÂ£1/minMobsmoreLKPOBOX177HP51FL"",,,,,,,,,,,,,"
214,Florence6168@yahoo.com,spam   ,"Your account has been credited with 500 FREE Text Messages. To activate"", just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz,,,,,,,,,,,,"
215,PhilipWright@hotmail.com,spam   ,"SMS. ac JSco: Energy is high"", but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO,,,,,,,,,,,,"
216,Ginger.Davis@hotmail.com,spam   ,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd"", PO Box 1327 Croydon CR9 5WB 0870 is a national rate call,,,,,,,,,,,,"
217,GladysFalk@vitstudent.ac.in,spam   ,"Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now."",,,,,,,,,,,,,"
218,BeatriceVallejos@hotmail.com,spam   ,"Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists."",,,,,,,,,,,,,"
219,Lauralee.Silvera@vitstudent.ac.in,spam   ,"URGENT! Your Mobile No was awarded a Â£2"",000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate,,,,,,,,,,,,"
220,Anthony7312@yahoo.com,spam   ,"You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+"",,,,,,,,,,,,,"
221,Mendy3444@yahoo.com,spam   ,"Hello from Orange. For 1 month's free access to games"", news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow,,,,,,,,,,"
222,Robert.Kirkland@vitstudent.ac.in,spam   ,"Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL"",,,,,,,,,,,,,"
223,Paul6700@gmail.com,spam   ,"SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL"",,,,,,,,,,,,,"
224,Edith.Yang@vitstudent.ac.in,spam   ,"PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04"",,,,,,,,,,,,,"
225,Edward5259@yahoo.com,spam   ,"As a Registered Subscriber yr draw 4 a Â£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062"",,,,,,,,,,,,,"
226,Son.Mick@yahoo.com,spam   ,"URGENT! Your Mobile number has been awarded with a Â£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm"",,,,,,,,,,,,,"
227,AubreyLewis@gmail.com,spam   ,"RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!"",,,,,,,,,,,,,"
228,Tomas.Temblador@vitstudent.ac.in,spam   ,"U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599"",,,,,,,,,,,,,"
229,RoseSheaffer@vitstudent.ac.in,spam   ,"500 free text msgs. Just text ok to 80488 and we'll credit your account"",,,,,,,,,,,,,"
230,Martha.Armstrong@hotmail.com,spam   ,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth Â£350! To Claim"", Call London 02072069400. Bx 526, SW73SS,,,,,,,,,,,"
231,KerriJohnson@gmail.com,spam   ,"Eerie Nokia tones 4u"", rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p,,,,,,,,"
232,CarrieWyrick@gmail.com,spam   ,"0A$NETWORKS allow companies to bill for SMS"","" so they are responsible for their """"suppliers"""""", just as a shop has to give a guarantee on what they sell. B. G.,,,,,,,,,,,"
233,Sherry.Wolf@hotmail.com,spam   ,"FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242"",,,,,,,,,,,,,"
234,David.Lee@yahoo.com,spam   ,"For ur chance to win a Â£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022"", 1x150p/wk,,,,,,,,,,,,"
235,Duane.Harvey@hotmail.com,spam   ,"RGENT! This is the 2nd attempt to contact U!U have WON Â£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxÂ£7. 50"",,,,,,,,,,,,,"
236,Dennis.Sackrider@yahoo.com,spam   ,"Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx CallsÂ£1/minMobsmoreLKPOBOX177HP51FL"",,,,,,,,,,,,,"
237,RobertoCroteau@vitstudent.ac.in,spam   ,"URGENT! We are trying to contact U. Todays draw shows that you have won a Â£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only"",,,,,,,,,,,,,"
238,Reginald.Green@vitstudent.ac.in,spam   ,"Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC."",,,,,,,,,,,,,"
239,Jimmy5842@vitstudent.ac.in,spam   ,"todays vodafone numbers ending with 0089(my last four digits) are selected to received a Â£350 award. If your number matches please call 09063442151 to claim your Â£350 award"",,,,,,,,,,,,,"
240,AnnThorson@hotmail.com,spam   ,"Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870"",,,,,,,,,,,,,"
241,EricJones@vitstudent.ac.in,spam   ,"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. Â£1.50 SP:Tyrone"",,,,,,,,,,,,,"
242,Monica1684@vitstudent.ac.in,spam   ,"Free msg. Sorry"", a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.,,,,,,,,,,,,"
243,Roberta9648@vitstudent.ac.in,spam   ,"Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX"",,,,,,,,,,,,,"
244,Ryan.Senne@hotmail.com,spam   ,"WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u."",,,,,,,,,,,,,"
245,Roger1461@vitstudent.ac.in,spam   ,"Hi"", this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive Â£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....,,,,,,,,,,,,"
246,Ginger.Vanwormer@gmail.com,spam   ,"UR GOING 2 BAham AS! CallFREEFONE 08081560665 and speak to a live operator to claim either Baham as cruise ofÂ£2000 CASH 18+only. To opt out txt X to 07786200117"",,,,,,,,,,,,,"
247,MelissaDavies@vitstudent.ac.in,spam   ,"Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15"",,,,,,,,,,,,,"
248,Patricia.Henderson@gmail.com,spam   ,"Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY Â£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&"",,,,,,,,,,,,,"
249,ReynaldoYokota@vitstudent.ac.in,spam   ,"SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+"",,,,,,,,,,,,,"
250,Eduardo2016@vitstudent.ac.in,spam   ,"Call FREEPHONE 0800 542 0578 now!"",,,,,,,,,,,,,"
251,JeanetteScott@yahoo.com,spam   ,"Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase"",,,,,,,,,,,,,"
252,StephanieMcneil@yahoo.com,spam   ,"Loan for any purpose Â£500 - Â£75"",000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help',,,,,,,,,,,,"
253,DonnaOna@vitstudent.ac.in,spam   ,"BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary"",,,,,,,,,,,,,"
254,RichardGreen@yahoo.com,spam   ,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon"", so keep an eye on ur mobile or visit www.win-82050.co.uk,,,,,,,,,,,,"
255,Joseph.Smith@yahoo.com,spam   ,"Todays Voda numbers ending 1225 are selected to receive a Â£50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app "",,,,,,,,,,,,,"
256,Betty.Hermann@yahoo.com,spam   ,"Hottest pics straight to your phone!! See me getting Wet and Wanting"", just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX,,,,,,,,,,,,"
257,JayneHill@hotmail.com,spam   ,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520"", to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx,,,,,,,,,,"
258,JamesHindman@vitstudent.ac.in,spam   ,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental"", 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV,,,,,,,,,,,,"
259,Jesse7907@gmail.com,spam   ,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy"", call 08718726970 NOW! Only 10p per min. BT-national-rate ,,,,,,,,,,,,"
260,NathanaelGrogan@gmail.com,spam   ,"You have WON a guaranteed Â£1000 cash or a Â£2000 prize.To claim yr prize call our customer service representative on"",,,,,,,,,,,,,"
261,Richard.Hackathorn@yahoo.com,spam   ,"Would you like to see my XXX pics they are so hot they were nearly banned in the uk!"",,,,,,,,,,,,,"
262,Victoria.Creel@vitstudent.ac.in,spam   ,"HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com"",,,,,,,,,,,,,"
263,Joseph.Ho@gmail.com,spam   ,"U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594"",,,,,,,,,,,,,"
264,Henry.Degirolamo@vitstudent.ac.in,spam   ,"Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs "",,,,,,,,,,,,,"
265,JanetValdez@gmail.com,spam   ,"Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or Â£5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm"",,,,,,,,,,,,,"
266,Allison2433@vitstudent.ac.in,spam   ,"CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+"",,,,,,,,,,,,,"
267,ScottAndrews@hotmail.com,spam   ,"FreeMsg Hey U"", i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop),,,,,,,,,,"
